mva_cut value,signal count,error,zll count,unweighted count,error,mc weight,error,combined error,formatted error, enu count,unweighted count, error, mc weight,error,combined error,formatted error,munu count,unweighted count,error, mc weight,error,combined error,formatted error,taunu count,unweighted count, error,mc weight,error,combined error,formatted error,top count,error,mc weight,error,combined error,formatted error,VV count, error, mc weight, error,combined error,formatted error,znunu count,unweighted count,error,mc weight,error,combined error,formatted error,qcd count,error, mc weight, error,combined error,formatted error
0.1,768.91,0,7.76501,21.74743876,4.663414925,0.357054,0.0465846,1.949074357,1.251007321,334.348,520.0047903,22.80361354,0.642971,0.0621251,35.47691757,1.106107761,224.311,656.7961748,25.62803494,0.341523,0.0137673,12.58454351,1.056103105,419.131,508.0043246,22.53895127,0.825054,0.236404,121.5254526,1.289946228,2.37242,1.540266211,1,0,1.540266211,1.649238419,45.4479,6.741505767,1,0,6.741505767,1.148334813,551.332,1020.690319,23.48045996,0.540156,0.26325,268.9958961,1.487901838,48.0122,6.929083633,1,0,6.929083633,1.144319228
0.11,761.656,0,7.29872,21.34397015,4.619953479,0.341957,0.0456796,1.856459596,1.254354133,316.133,505.1855616,22.47633337,0.625776,0.0627092,34.6617521,1.109642942,217.274,640.1935248,25.30204586,0.339388,0.0139114,12.37161324,1.056940146,393.131,494.4440741,22.23609845,0.795097,0.243564,121.7196265,1.309615946,2.37242,1.540266211,1,0,1.540266211,1.649238419,42.0653,6.485776746,1,0,6.485776746,1.154183537,508.639,992.1372423,22.5530264,0.51267,0.258136,256.3672031,1.504025848,46.4086,6.812385779,1,0,6.812385779,1.146791452
0.12,755.743,0,7.11512,21.1250887,4.596203727,0.336809,0.0455023,1.822201698,1.256102736,294.793,486.1682829,22.04922409,0.60636,0.0632544,33.53287335,1.113750575,204.222,614.5341839,24.7898,0.33232,0.0138769,11.8571046,1.058059879,422.888,478.9853242,21.88573335,0.882883,0.274103,132.7055758,1.313807854,2.37242,1.540266211,1,0,1.540266211,1.649238419,37.7949,6.147755688,1,0,6.147755688,1.162660986,479.242,959.2936438,21.89159656,0.499578,0.257133,246.9083834,1.515206062,41.0223,6.404865338,1,0,6.404865338,1.156131308
0.13,750.811,0,6.93533,20.8487299,4.566040943,0.33265,0.0454845,1.790614179,1.258187307,287.594,476.5545514,21.83012944,0.603486,0.0643018,33.35523549,1.11598029,198.138,598.8122762,24.47064111,0.330885,0.0140053,11.65740274,1.058834765,409.616,467.0788416,21.61200688,0.876974,0.288567,136.1096075,1.332285867,2.37242,1.540266211,1,0,1.540266211,1.649238419,35.0182,5.917617764,1,0,5.917617764,1.16898692,455.86,937.1813427,21.3508782,0.486416,0.257033,241.1103027,1.528913049,38.5732,6.210732646,1,0,6.210732646,1.1610116
0.14,743.743,0,7.19356,19.67856918,4.436053334,0.365553,0.0502389,1.899214591,1.264015952,281.105,464.1193117,21.5434285,0.605674,0.0665527,33.53134103,1.119284043,188.33,584.2171713,24.17058484,0.322363,0.0140135,11.30205304,1.060011963,365.993,451.6068132,21.25104264,0.810424,0.28848,131.4129611,1.359058674,1.86017,1.363880493,1,0,1.363880493,1.733202069,29.8864,5.466845526,1,0,5.466845526,1.182920844,445.716,914.0811015,21.11198712,0.487611,0.2839,259.7117301,1.582684333,36.7125,6.059084089,1,0,6.059084089,1.165041446
0.15,734.652,0,6.52919,18.50367994,4.301590397,0.352859,0.0494775,1.772583617,1.271485991,280.594,454.6196894,21.32181253,0.617206,0.0702573,34.5451933,1.123114512,182.115,568.3687195,23.84048488,0.320417,0.014027,11.04145037,1.060629,282.557,439.732261,20.96979401,0.642566,0.263083,116.4681552,1.412193487,1.86017,1.363880493,1,0,1.363880493,1.733202069,28.7235,5.35943094,1,0,5.35943094,1.186586974,412.705,884.2080681,20.31514214,0.466751,0.279597,247.403698,1.599468623,35.9836,5.998633178,1,0,5.998633178,1.166704643
0.16,728.337,0,6.01488,17.7404446,4.211940716,0.339049,0.0485467,1.667655078,1.277254921,266.446,437.5247338,20.91709191,0.608985,0.0718928,33.93627821,1.127366439,177.224,553.2838193,23.52198587,0.320313,0.014142,10.8623466,1.061291623,325.524,427.1979716,20.66876802,0.761998,0.305241,131.3460113,1.403491022,1.86017,1.363880493,1,0,1.363880493,1.733202069,28.2908,5.318909663,1,0,5.318909663,1.188008457,383.485,860.0536013,19.58277304,0.445885,0.274338,236.1068966,1.615687436,32.9485,5.740078397,1,0,5.740078397,1.174213648
0.17,719.83,0,5.63753,17.04453172,4.128502358,0.330753,0.048919,1.599954629,1.283804189,247.445,420.6030834,20.50860998,0.58831,0.0721303,32.6493853,1.13194603,170.537,535.5153335,23.14120424,0.318454,0.0143079,10.63089666,1.062337772,314.041,416.6884493,20.41294808,0.753659,0.313383,131.4861956,1.418691176,1.86017,1.363880493,1,0,1.363880493,1.733202069,25.61,5.060632372,1,0,5.060632372,1.197603763,347.962,832.3175399,18.65373957,0.418064,0.276441,230.2188138,1.661620562,31.0035,5.568078663,1,0,5.568078663,1.179595164
0.18,714.287,0,5.28044,16.53118279,4.065855727,0.319423,0.0487916,1.52881323,1.289523833,240.179,407.8344339,20.19491109,0.588913,0.0743037,32.55385014,1.135539952,166.772,521.1999612,22.82980423,0.319977,0.0145875,10.54366543,1.063222036,330.346,402.4065507,20.06007355,0.820926,0.33121,134.29458,1.406527035,1.86017,1.363880493,1,0,1.363880493,1.733202069,25.024,5.002399424,1,0,5.002399424,1.199904069,314.051,803.5529696,17.72148414,0.390828,0.275721,221.6646592,1.705823765,29.9907,5.476376539,1,0,5.476376539,1.182602491
0.19,700.051,0,5.10182,15.97378729,3.996722068,0.319387,0.0493969,1.500687736,1.294147527,228.213,393.2855742,19.83142895,0.580273,0.0756513,31.90048532,1.139783822,163.108,510.0727389,22.58478999,0.319774,0.0148294,10.4581496,1.064117944,330.265,387.9332116,19.6960202,0.851345,0.347288,135.7640365,1.411076065,1.83337,1.354019941,1,0,1.354019941,1.73854156,24.665,4.966387017,1,0,4.966387017,1.201353619,295.054,778.5641156,17.17713597,0.378972,0.279142,217.4274139,1.736907189,27.6427,5.257632547,1,0,5.257632547,1.190199675
0.2,683.509,0,5.02874,15.7874347,3.973340496,0.318528,0.0506259,1.496863386,1.297661718,230.06,381.5446871,19.5331689,0.60297,0.0787769,32.2821464,1.140320553,158.488,495.780076,22.26611946,0.319674,0.0150835,10.32407159,1.06514103,294.287,378.7872352,19.46245707,0.776919,0.331426,126.4472746,1.429673328,1.83337,1.354019941,1,0,1.354019941,1.73854156,22.4902,4.742383367,1,0,4.742383367,1.210864437,271.591,756.7274632,16.4800182,0.358902,0.286087,216.5706725,1.797414762,26.0026,5.099274458,1,0,5.099274458,1.19610633
